IR_ID,ID,Citation,Title,Journal,Issue,Year
823,22,"Hultman , J. and Waldrop, M.P. and Mackelprang , R. and David , M.M. and McFarland, J.W. and Blazewicz, S.J. and Harden, J.W. and Turetsky, M.R. and McGuire, A.D. and Shah , M.B. and VerBerkmoes , N.C. and Lee , L.H. and Mavrommatis , K. and Jansson, J.K.. ""Multi-omics of permafrost, active layer and thermokarst bog soil microbiomes,"" Nature, v.521(755, 2015, p. 208-212. doi:10.1038/nature14238","Multi-omics of permafrost, active layer and thermokarst bog soil microbiomes",Nature,521(755,2015
824,22,"Jansson, R. and Nilsson, C. and Keskitalo, E. and Vlassova, T. and Sutinen, M. and Moen, J. and Chapin III, F.S. and Brathen , K. and Cabeza , M. and Callaghan, T.V. and Van Oort , B. and Dannevig , H. and Bay-larsen , I.A. and Ims, R.A. and Aspholm , P.. ""Future changes in the supply of goods and services from natural ecosystems: prospects for the European north,"" Ecology & Society, v.20(3), 2015, p. 11. doi:10.5751/es-07607-200332",Future changes in the supply of goods and services from natural ecosystems: prospects for the European north,Ecology & Society,20(3),2015
825,22,"Ji, L. and Wylie, B.K. and Brown, D.R.N. and Peterson, B.J. and Alexander, H.D.A. and Mack, M.C. and Rover, J. and Waldrop, M.P. and McFarland, J.W. and Chen, X. and Pastick, N.J.. ""Spatially explicit estimation of aboveground boreal forest biomass in the Yukon River Basin, Alaska,"" International Journal of Remote Sensing, v.36, 2015, p. 939-953. doi:10.1080/01431161.2015.1004764","Spatially explicit estimation of aboveground boreal forest biomass in the Yukon River Basin, Alaska",International Journal of Remote Sensing,36,2015
826,22,"Jones, C.E. and Kielland, K. and Hinzman, L.D.. ""Modeling groundwater upwelling as a control on river ice thickness,"" Hydrological Research, v.46(4), 2015, p. 566-577. doi:10.2166/nh.2015.026",Modeling groundwater upwelling as a control on river ice thickness,Hydrological Research,46(4),2015
827,22,"Jones, C.E. and Kielland, K. and Hinzman, L.D. and Schneider, W.S.. ""Integrating Local Knowledge and Science: Economic Consequences of Driftwood Harvest in a Changing Climate,"" Ecology & Society, v.20(1), 2015, p. 25. doi:10.5751/es-07235-200125",Integrating Local Knowledge and Science: Economic Consequences of Driftwood Harvest in a Changing Climate,Ecology & Society,20(1),2015
828,22,"Juday, G.P. and Alix, C. and Grant III, T.A.. ""Spatial coherence and change of opposite white spruce temperature sensitivities on floodplains in Alaska confirms early-stage boreal biome shift,"" Forest Ecology and Management, v.350, 2015, p. 46-61. doi:doi.org/10.1016/j.foreco.2015.04.016",Spatial coherence and change of opposite white spruce temperature sensitivities on floodplains in Alaska confirms early-stage boreal biome shift,Forest Ecology and Management,350,2015
829,22,"Kelly , R. and Genet, H.. and McGuire, A.D. and Hu, F.S.. ""Palaeodata-informed modelling of large carbon losses from recent burning of boreal forests,"" Nature Climate Change, 2015, p. 4. doi:10.1038/nclimate2832",Palaeodata-informed modelling of large carbon losses from recent burning of boreal forests,Nature Climate Change,,2015
830,22,"King, A.W. and Andres , R.J. and Davis, K. and Hafer , M. and Hayes, D.J. and Huntzinger, D.N. and deJong, B. and Kurz, W. and McGuire, A.D. and Vargas, R. and Wei, Y. and West, T.O. and Woodall , C.W.. ""North America's net terrestrial CO2 exchange with the atmosphere 1990-2009,"" Biogeosciences, v.12, 2015, p. 399-414. doi:10.5194/bg-12-399-2015",North America's net terrestrial CO2 exchange with the atmosphere 1990-2009,Biogeosciences,12,2015
831,22,"Koven, C.D. and Schuur, E.A.G. and Schadel , C. and Bohn , T.J. and Burke , E. and Chen , G. and Chen, X. and Ciais, P. and Grosse, G. and Harden, J.W. and Hayes, D.J. and Hugelius, G. and Jafarov, E.E. and Krinner, G.. and Kuhry, P. and Lawrence, D.M. an. ""A simplified, data-constrained approach to estimate the permafrost carbon-climate feedback,"" Phil. Trans. R. Soc., v.373, 2015, p. 23. doi:10.1098/rsta.2014.0423","A simplified, data-constrained approach to estimate the permafrost carbon-climate feedback",Phil. Trans. R. Soc.,373,2015
832,22,"Lara , M.J. and Genet, H.. and McGuire, A.D. and Euskirchen, E.S. and Zhang, Y. and Brown, D.R.N. and Jorgenson, M.T. and Romanovsky, V.E. and Breen, A.. and Bolton, W.R.. ""Thermokarst rates intensify due to climate change and forest fragmentation in an Alaskan boreal forest lowland,"" Global Change Biology, 2015, p. 30. doi:10.1111/gcb.13124",Thermokarst rates intensify due to climate change and forest fragmentation in an Alaskan boreal forest lowland,Global Change Biology,,2015
833,22,"Lara , M.J. and McGuire, A.D. and Euskirchen, E.S. and Tweedie, C.E. and Hinkel, K.M. and Skurikhin , A.N. and Romanovsky, V.E. and Grosse, G. and Bolton, W.R. and Genet, H... ""Polygonal tundra geomorphological change in response to warming alters future CO2 and CH4 flux on the Barrow Peninsula,"" Global Change Biology, v.21, 2015, p. 1634-1651. doi:10.1111/gcb.12757",Polygonal tundra geomorphological change in response to warming alters future CO2 and CH4 flux on the Barrow Peninsula,Global Change Biology,21,2015
834,22,"Liang, J. and Zhou , M. and Tobin , P.C. and McGuire, A.D. and Reich, P.. ""Biodiversity influences plant productivity through niche-efficiency,"" Proceedings of the National Academy of Sciences, v.112(18), 2015, p. 5738-5743. doi:10.1073/pnas.1409853112",Biodiversity influences plant productivity through niche-efficiency,Proceedings of the National Academy of Sciences,112(18),2015
835,22,"Lord, R.E. and Kielland, K.. ""Effects of variable fire severity on forage production and foraging behavior of moose in winter,"" Alces, v.51, 2015, p. 23-34.",Effects of variable fire severity on forage production and foraging behavior of moose in winter,Alces,51,2015
836,22,"Melvin, A.M. and Mack, M.C. and Johnstone, J.F. and McGuire, A.D. and Genet, H.. and Schuur, E.A.G.. ""Differences in Ecosystem Carbon Distribution and Nutrient Cycling Linked to Forest Tree Species Composition in a Mid-Successional Boreal Forest,"" Ecosystems, v.18(8), 2015, p. 1472-1488. doi:10.1007/s10021-015-9912-7",Differences in Ecosystem Carbon Distribution and Nutrient Cycling Linked to Forest Tree Species Composition in a Mid-Successional Boreal Forest,Ecosystems,18(8),2015
837,22,"Newman, J.R. and Wagner, D. and Doak, P.. ""Impact of extrafloral nectar availability and plant genotype on ant visitation to quaking aspen,"" The Canadian Entomologist, 2015, p. 7. doi:10.4039/tce.2015.38",Impact of extrafloral nectar availability and plant genotype on ant visitation to quaking aspen,The Canadian Entomologist,,2015
838,22,"Paragi, T.F. and Seaton, C.T. and Kellie, K.A. and Boertje, R.D. and Kielland, K. and Young, Jr., D.D. and Keech, M.A. and DuBois, S.. ""Browse removal, plant condition, and moose twinning rates before and after short-term changes in moose densities,"" Alces, v.51, 2015, p. 1-21.","Browse removal, plant condition, and moose twinning rates before and after short-term changes in moose densities",Alces,51,2015
839,22,"Parmentier , F.J. and Zhang , W. and Mi , Y. and Zhu , X. and van Huissteden , J. and Hayes, D.J. and Zhuang, Q. and Christensen, T.R. and McGuire, A.D.. ""Rising methane emissions from northern wetlands associated with sea ice decline,"" Geophysical Research Letters, v.42, 2015, p. 7214-7222. doi:10.1002/2015gl065013",Rising methane emissions from northern wetlands associated with sea ice decline,Geophysical Research Letters,42,2015
840,22,"Rawlins, M. and McGuire, A.D. and Kimball, J.S. and Dass , P. and Lawrence, D.M. and Burke , E. and Chen, X. and Delire , C. and Koven, C.D. and MacDougall , A. and Peng , S. and Rinke, A. and Saito , L. and Zhang , W. and Alkama , R. and Bohn , T.J. and. ""Assessment of model estimates of land-atmosphere CO2 exchange across northern Eurasia,"" Biogeosciences, v.12, 2015, p. 4385-4405. doi:10.5194/bg-12-1-2015",Assessment of model estimates of land-atmosphere CO2 exchange across northern Eurasia,Biogeosciences,12,2015
841,22,"Rinehart, A.J. and Jones, J. and Harms, T.. ""Hydrologic and biogeochemical influences on carbon processing in the riparian zone of a subarctic stream,"" Freshwater Science, v.34(1), 2015, p. 222-232. doi:10.1086/679595",Hydrologic and biogeochemical influences on carbon processing in the riparian zone of a subarctic stream,Freshwater Science,34(1),2015
842,22,"Ruegg , J. and Dodds, W.K. and Daniels , M.D. and Sheehan , K.R. and Baker , C.L. and Bowden, W.B. and Farrell , K.J. and Flinn, M.B. and Harms, T. and Jones, J. and Koenig , L.E. and Kominoski, J.S. and McDowell, W.H. and Parker , S.P. and Rosemond , A.D. ""Baseflow physical characteristics differ at multiple spatial scales in stream networks across diverse biomes,"" Landscape Ecology, v.31(1), 2015, p. 119-136. doi:10.1007/s10980-015-0289-y",Baseflow physical characteristics differ at multiple spatial scales in stream networks across diverse biomes,Landscape Ecology,31(1),2015
843,22,"Schneider, W.S. and Brewster, K.. and Kielland, K.. ""Team Building on Dangerous Ice: A Study in Collaborative Learning,"" Arctic, v.68(3), 2015, p. 399-404.",Team Building on Dangerous Ice: A Study in Collaborative Learning,Arctic,68(3),2015
844,22,"Schuur, E.A.G. and McGuire, A.D. and Schadel , C. and Grosse, G. and Harden, J.W. and Hayes, D.J. and Hugelius, G. and Koven, C.D. and Kuhry, P. and Lawrence, D.M. and Natali, S.M.N. and Olefeldt, D.. and Romanovsky, V.E. and Schaefer, K.. and Turetsky, M. ""Climate change and the permafrost carbon feedback,"" Nature, v.520, 2015, p. 171-179. doi:10.1038/nature14338",Climate change and the permafrost carbon feedback,Nature,520,2015
845,22,"Shanley, C. and Pyare , S. and Goldstein , M.I. and Alaback , P.B. and Albert , D.M. and Beier, C. and Brinkman, T. and Edwards , R.T. and Hood , E. and MacKinnon , A. and McPhee , M.V. and Patterson, T. and Suring , L.H. and Tallmon , D.A. and Wipfli , M. ""Climate change implications in the northern coastal temperate rainforest of North America,"" Climate Change, v.130(2), 2015, p. 155-170. doi:10.1007/s10584-015-1355-9",Climate change implications in the northern coastal temperate rainforest of North America,Climate Change,130(2),2015
846,22,"Spellman, K.V.. ""Educating for resilience in the North: building a toolbox for teachers,"" Ecology and Society, v.20(1), 2015, p. 11. doi:10.5751/es-07243-200146",Educating for resilience in the North: building a toolbox for teachers,Ecology and Society,20(1),2015
847,22,"Spellman, K.V. and Schneller, L.C. and Mulder, C.P.H. and Carlson, M.L.. ""Effects of non-native Melilotus albus on pollination and reproduction in two boreal shrubs,"" Oecologia, v.179(2), 2015, p. 495-507. doi:10.1007/s00442-015-3364-9",Effects of non-native Melilotus albus on pollination and reproduction in two boreal shrubs,Oecologia,179(2),2015
848,22,"Treat, C.C. and Natali, S.M.N. and Ernakovich , J. and Iversen, C.M. and Lupascu , M. and McGuire, A.D. and Norby, R.J. and Chowdhury , T.R. and Richter_Menge, J.A. and Santruckova , H. and Schadel , C. and Schuur, E.A.G. and Sloan , V.L. and Turetsky, M.. ""A pan-Arctic synthesis of CH4 and CO2 production from anoxic soil incubations,"" Global Change Biology, v.21, 2015, p. 2787-2803. doi:10.1111/gcb.12875",A pan-Arctic synthesis of CH4 and CO2 production from anoxic soil incubations,Global Change Biology,21,2015
849,22,"Verbyla, D.L.. ""Remote sensing of interannual boreal forest NDVI in relation to climatic conditions in interior Alaska,"" Environmental Research Letters, v.10, 2015, p. 28. doi:10.1088/1748-9326/10/12/125016",Remote sensing of interannual boreal forest NDVI in relation to climatic conditions in interior Alaska,Environmental Research Letters,10,2015
850,22,"Walker, X. and Mack, M.C. and Johnstone, J.F.. ""Stable carbon isotope analysis reveals widespread drought stress in boreal black spruce forests,"" Global Change Biology, v.21, 2015, p. 3102-3113. doi:10.1111/gcb.12893",Stable carbon isotope analysis reveals widespread drought stress in boreal black spruce forests,Global Change Biology,21,2015
851,22,"Worker, S.B.W. and Kielland, K. and Barboza, P.S.. ""Effects of geophagy on food intake, body mass, and nutrient dynamics of snowshoe hares (Lepus americanus),"" Canadian Journal of Zoology, v.93(4), 2015, p. 323-329. doi:10.1139/cjz-2014-0237","Effects of geophagy on food intake, body mass, and nutrient dynamics of snowshoe hares (Lepus americanus)",Canadian Journal of Zoology,93(4),2015
852,22,"Xu , C. and Holmgren, M. and Van Nes, E.H. and Hirota, M. and Chapin III, F.S. and Scheffer, M.. ""A changing number of alternative states in the boreal biome: Reproducibility risks of replacing remote sensing products,"" PLOS ONE, v.10(11), 2015, p. 5. doi:10.1371/journal.pone.0143014",A changing number of alternative states in the boreal biome: Reproducibility risks of replacing remote sensing products,PLOS ONE,10(11),2015
853,22,"Zhuang, Q. and Zhu , X. and He, Y. and Prigent , C. and Melillo, J.M. and McGuire, A.D. and Prinn, R.G. and Kicklighter, D.W.. ""Influence of changes in wetland inundation extent on net fluxes of carbon dioxide and methane in northern high latitudes from 1993 to 2004,"" Environmental Research Letters, v.10(9), 2015, p. 13. doi:10.1088/1748-9326/10/9/095009",Influence of changes in wetland inundation extent on net fluxes of carbon dioxide and methane in northern high latitudes from 1993 to 2004,Environmental Research Letters,10(9),2015
854,22,"Abbott, B. and Jones, J. and Schuur, E.A.G. and Chapin III, F.S. and Bowden, W.B. and Bret-Harte, S. and Epstein, H.E. and Flannigan, M.D. and Harms, T. and Hollingsworth, T.N. and Mack, M.C. and McGuire, A.D. and Natali, S.M.N. and Roca, A.V. and Tank ,. ""Biomass offsets little or none of permafrost carbon release from soils, streams, and wildfire: an expert assessment,"" Environmental Research Letters, v.11, 2016, p. 14. doi:10.1088/1748-9326/11/3/034014","Biomass offsets little or none of permafrost carbon release from soils, streams, and wildfire: an expert assessment",Environmental Research Letters,11,2016
855,22,"Alexander, H.D.A. and Mack, M.C.. ""A Canopy Shift in Interior Alaskan Boreal Forests: Consequences for Above-and Belowground Carbon and Nitrogen Pools during Post-fire,"" Ecosystems, v.19, 2016, p. 98-114. doi:10.1007/s10021-015-9920-7",A Canopy Shift in Interior Alaskan Boreal Forests: Consequences for Above-and Belowground Carbon and Nitrogen Pools during Post-fire,Ecosystems,19,2016
856,22,"Anderson , C.E. and Juday, G.P.. ""Mycoremediation of Petroleum: A Literature Review,"" Journal of Environmental Science and Engineering, v.A5, 2016, p. 397-405. doi:10.17265/2162-5298/2016.08.002",Mycoremediation of Petroleum: A Literature Review,Journal of Environmental Science and Engineering,,2016
857,22,"Barrett, K. and Loboda , T. and McGuire, A.D. and Genet, H.. and Hoy, E.E. and Kasischke, E.S.. ""Static and dynamic controls on fire activity at moderate spatial and temporal scales in the Alaskan boreal forest, Ecosphere,"" Ecosphere, v.7(11), 2016, p. 21. doi:10.1002/ecs2.1572","Static and dynamic controls on fire activity at moderate spatial and temporal scales in the Alaskan boreal forest, Ecosphere",Ecosphere,7(11),2016
858,22,"Bond-Lamberty, B.P. and Epron , D. and Harden, J.W. and Harmon, M.E. and Hoffman, F.M. and Kumar , J. and McGuire, A.D. and Vargas, R.. ""Estimating heterotrophic respiration at large scales: Challenges, approaches, and next steps,"" Ecosphere, v.7(6), 2016, p. 13. doi:10.1002/ecs2.1380","Estimating heterotrophic respiration at large scales: Challenges, approaches, and next steps",Ecosphere,7(6),2016
859,22,"Bracho, R. and Natali, S.M.N. and Pegoraro , E.F. and Crummer, K.G. and Schadel , C. and Celis , C. and Hale , L. and Wu, L.. and Yin , H. and Tiedje, J.M. and Konstantinidis , K.T. and Luo, Y. and Zhou, J. and Schuur, E.A.G.. ""Temperature sensitivity of microbial organic matter decomposition of permafrost-region soils during laboratory incubations,"" Soil Biology & Biochemistry, v.97, 2016, p. 1-14. doi:10.1016/j.soilbio.2016.02.008",Temperature sensitivity of microbial organic matter decomposition of permafrost-region soils during laboratory incubations,Soil Biology & Biochemistry,97,2016
860,22,"Brinkman, T. and Hansen, W.D. and Chapin III, F.S. and Kofinas, G.P. and BurnSilver, S. and Rupp, T.S.. ""Arctic communities perceive climate impacts on access as a critical challenge to availability of subsistence resources,"" Climate Change, v.139, 2016, p. 413-427. doi:10.1007/s10584-016-1819-6",Arctic communities perceive climate impacts on access as a critical challenge to availability of subsistence resources,Climate Change,139,2016
861,22,"Brown, D.R.N. and Jorgenson, T. and Kielland, K. and Verbyla, D.L. and Prakash , A. and Koch, J... ""Landscape Effects of Wildfire on Permafrost Distribution in Interior Alaska Derived from Remote Sensing,"" Remote Sensing, v.8(654), 2016, p. 22. doi:10.3390/rs8080654",Landscape Effects of Wildfire on Permafrost Distribution in Interior Alaska Derived from Remote Sensing,Remote Sensing,8(654),2016
862,22,"Cable, W.L.C. and Romanovsky, V.E. and Jorgenson, M.T.. ""Scaling-up permafrost thermal measurements in western Alaska using an ecotype approach,"" The Cryosphere, v.10, 2016, p. 2517-2532. doi:10.5194/tc-10-2517-2016",Scaling-up permafrost thermal measurements in western Alaska using an ecotype approach,The Cryosphere,10,2016
863,22,"Chapin III, F.S. and Conway , A. and Johnstone, J.F. and Hollingsworth, T.N. and Hollingsworth, J.. ""Absence of net long-term successional facilitation by alder in a boreal Alaska floodplain,"" Ecology, v.97(11), 2016. doi:10.1002/ecy.1529",Absence of net long-term successional facilitation by alder in a boreal Alaska floodplain,Ecology,97(11),2016
864,22,"Chapin III, F.S. and Knapp , C.N. and Brinkman, T. and Bronen, R.. and Cochran, P.. ""Community-empowered adaptation for self-reliance,"" Current Opinion in Environmental Sustainability, v.19, 2016, p. 67-75. doi:10.1016/j.cosust.2015.12.008",Community-empowered adaptation for self-reliance,Current Opinion in Environmental Sustainability,19,2016
865,22,"Doak, P. and Carroll , C.C. and Kielland, K.. ""Harvest of female moose at high density: modelling the impacts of harvest on population size and biomass yield,"" Wildlife Biology, v.22(4), 2016, p. 153-159. doi:10.2981/wlb.00163",Harvest of female moose at high density: modelling the impacts of harvest on population size and biomass yield,Wildlife Biology,22(4),2016
866,22,"Douglas, T.A. and Jorgenson, T. and Brown, D.R.N. and Campbell , S.W. and Hiemstra , C. and Pike Saari , S. and Bjella , K. and Liljedahl, A.. ""Degrading permafrost mapped with electrical resistivity tomography, airborne imagery and LiDAR, and seasonal thaw measurements,"" Geophysics, v.81(1), 2016, p. 15. doi:10.1190/geo2015-0149.1","Degrading permafrost mapped with electrical resistivity tomography, airborne imagery and LiDAR, and seasonal thaw measurements",Geophysics,81(1),2016
867,22,"Euskirchen, E.S. and Bennett, A.P. and Breen, A.. and Genet, H.. and Lindgren, M.A. and Kurkowski, T.K. and McGuire, A.D. and Rupp, T.S.. ""Consequences of changes in vegetation and snow cover for climate feedbacks in Alaska and northwest Canada,"" Environmental Research Letters, v.11(1050, 2016, p. 19. doi:10.1088/1748-9326/11/10/105003",Consequences of changes in vegetation and snow cover for climate feedbacks in Alaska and northwest Canada,Environmental Research Letters,11(1050,2016
868,22,"Finger , R.A.F. and Turetsky, M.R. and Kielland, K. and Ruess, R.W. and Mack, M.C. and Euskirchen, E.S.. ""Effects of permafrost thaw on nitrogen availability and plant soil interactions in a boreal Alaskan lowland,"" Journal of Ecology, v.104, 2016, p. 1542-1554. doi:10.1111/1365-2745.12639",Effects of permafrost thaw on nitrogen availability and plant soil interactions in a boreal Alaskan lowland,Journal of Ecology,104,2016
869,22,"Gibson , C.M. and Turetsky, M.R. and Cottenie , K. and Kane, E.S. and Houle , G. and Kasischke, E.S.. ""Variation in plant community composition and vegetation carbon pools a decade following a severe fire season in Alaska,"" Journal of Vegetation Science, v.27(6), 2016, p. 1187-1197. doi:10.1111/jvs.12443",Variation in plant community composition and vegetation carbon pools a decade following a severe fire season in Alaska,Journal of Vegetation Science,27(6),2016
870,22,"Goralnik , L. and Nelson , M.P. and Gosnell , H. and Leigh, M.B.. ""Arts and humanities inquiry in the Long-Term Ecological Research Network: empathy, relationships, and interdisciplinary collaborations,"" Journal of Environmental Studies and Sciences., 2016, p. 13. doi:10.1007/s13412-016-0415-4","Arts and humanities inquiry in the Long-Term Ecological Research Network: empathy, relationships, and interdisciplinary collaborations",Journal of Environmental Studies and Sciences.,,2016
871,22,"Grosse, G. and Goetz, S.J. and McGuire, A.D. and Romanovsky, V.E. and Schuur, E.A.G.. ""Changing permafrost in a warming world and feedbacks to the Earth system,"" Environmental Research Letters, v.11(4), 2016, p. 10. doi:10.1088/1748-9326/11/4/040201",Changing permafrost in a warming world and feedbacks to the Earth system,Environmental Research Letters,11(4),2016
872,22,"Haight , J. and Laursen, G.A. and Glaeser , J.A. and Taylor, D.L.. ""Phylogeny of Fomitopsis pinicola: a species complex,"" Mycologia, v.108(5), 2016, p. 925-938. doi:10.3852/14-225r1",Phylogeny of Fomitopsis pinicola: a species complex,Mycologia,108(5),2016
873,22,"Hansen, W.D. and Chapin III, F.S. and Naughton , H.T. and Rupp, T.S. and Verbyla, D.L.. ""Forest-landscape structure mediates effects of a spruce bark beetle outbreak on subsequent likelihood of burning in Alaskan boreal forest,"" Forest Ecology and Management, v.369, 2016, p. 38-46. doi:10.1016/j.foreco.2016.03.036",Forest-landscape structure mediates effects of a spruce bark beetle outbreak on subsequent likelihood of burning in Alaskan boreal forest,Forest Ecology and Management,369,2016
874,22,"Harms, T. and Edmonds , J.W. and Genet, H.. and Creed , I.F. and Aldred , D. and Balser, A. and Jones, J.. ""Catchment influence on nitrate and dissolved organic matter in Alaskan streams across a latitudinal gradient,"" Journal of Geophysical Research - Biogeosciences, 2016, p. 20. doi:10.1002/2015jg003201",Catchment influence on nitrate and dissolved organic matter in Alaskan streams across a latitudinal gradient,Journal of Geophysical Research - Biogeosciences,,2016
875,22,"Harp , D.R. and Atchley , A.L. and Painter , S.L. and Coon , E.T. and Wilson, C.J. and Romanovsky, V.E. and Rowland, J.C.. ""Effect of soil property uncertainties on permafrost thaw projections: a calibration-constrained analysis,"" The Cryosphere, v.10, 2016, p. 341-358. doi:10.5194/tc-10-341-2016",Effect of soil property uncertainties on permafrost thaw projections: a calibration-constrained analysis,The Cryosphere,10,2016
876,22,"He, Y. and Yang , J. and Zhuang, Q. and Harden, J.W. and McGuire, A.D. and Liu, Y. and Wang , G. and Gu , L.. ""Incorporating microbial dormancy dynamics into soil decomposition models to improve quantification of soil carbon dynamics of northern temperate forests,"" Journal of Geophysical Research: Biogeosciences, v.120, 2016, p. 2596-2611. doi:10.1002/2015jg003130",Incorporating microbial dormancy dynamics into soil decomposition models to improve quantification of soil carbon dynamics of northern temperate forests,Journal of Geophysical Research: Biogeosciences,120,2016
877,22,"Helbig , M. and Wischnewski , K. and Gosselin , G.H. and Biraud , S.C. and Bogoev , I. and Chan , W.S. and Euskirchen, E.S. and Glenn , A.J. and Marsh, P. and Quinton , W.L. and Sonnentag , O.. ""Addressing a systematic bias in carbon dioxide flux measurements with the EC150 and the IRGASON open-path gas analyzers,"" Agricultural and Forest Meteorology, v.228-229, 2016, p. 349-359. doi:10.1016/j.agrformet.2016.07.018",Addressing a systematic bias in carbon dioxide flux measurements with the EC150 and the IRGASON open-path gas analyzers,Agricultural and Forest Meteorology,228-229,2016
878,22,"Hewitt, R. and Hollingsworth, T.N. and Chapin III, F.S. and Taylor, D.L.. ""Fire-severity effects on plant-fungal interactions after a novel tundra wildfire disturbance: Implications for arctic shrub and tree migration,"" BMC Ecology, v.16(25), 2016, p. 11. doi:10.1186/s12898-016-0075-y",Fire-severity effects on plant-fungal interactions after a novel tundra wildfire disturbance: Implications for arctic shrub and tree migration,BMC Ecology,16(25),2016
879,22,"Hicks-Pries, C.E. and Schuur, E.A.G. and Natali, S.M.N. and Crummer, K.G.. ""Old soil carbon losses increase with ecosysttem respiration in experimentally thawed tundra,"" Nature Climate Change, v.6, 2016, p. 214-218. doi:10.1038/nclimate2830",Old soil carbon losses increase with ecosysttem respiration in experimentally thawed tundra,Nature Climate Change,6,2016
880,22,"Hoy, E.E. and Turetsky, M.R. and Kasischke, E.S.. ""Kasischke, More frequent burning increases vulnerability of Alaskan boreal black spruce forests,"" Environmental Research Letters, v.11, 2016, p. 11. doi:10.1088/1748-9326/11/9/095001","Kasischke, More frequent burning increases vulnerability of Alaskan boreal black spruce forests",Environmental Research Letters,11,2016
881,22,"Johnson , I. and Brinkman, T. and Britton , K. and Kelly , J. and Hundertmark, K.J. and Lake , B. and Verbyla, D.L.. ""Quantifying Rural Hunter Access in Alaska,"" Human Dimensions of Wildlife, v.21(3), 2016, p. 240-253. doi:10.1080/10871209.2016.1137109",Quantifying Rural Hunter Access in Alaska,Human Dimensions of Wildlife,21(3),2016
882,22,"Johnston , E.R. and Rodriguez , L.M. and Luo , C. and Yuan , M.M. and Wu, L.. and He , Z. and Schuur, E.A.G. and Luo, Y. and Tiedje, J.M. and Zhou, J. and Konstantinidis , K.T.. ""Metagenomics reveals pervasive bacterial populations and reduced community diversity across the Alaskan tundra ecosystem,"" Frontiers in Microbiology, v.7(579), 2016. doi:10.3389/fmicb.2016.00579",Metagenomics reveals pervasive bacterial populations and reduced community diversity across the Alaskan tundra ecosystem,Frontiers in Microbiology,7(579),2016
883,22,"Johnstone, J.F. and Allen, C.D. and Franklin , J.F. and Freelich , L.E. and Harvey , B.J. and Higuera, P.E. and Mack, M.C. and Meentemeyer , R.K. and Metz , M.R. and Perry , G.L. and Schoennagel , T. and Turner, M.G.. ""Changing disturbance regimes, ecological memory, and forest resilience,"" Frontiers in Ecology and the Environment, v.14(7), 2016, p. 369-378. doi:10.1002/fee.1311","Changing disturbance regimes, ecological memory, and forest resilience",Frontiers in Ecology and the Environment,14(7),2016
884,22,"Jones, B.M. and Baughman , C.A. and Romanovsky, V.E. and Parsekian , A.D. and Babcock , E.L. and Stephani, E.. and Jones, M.C. and Grosse, G. and Berg, E.. ""Presence of rapidly degrading permafrost plateaus in south-central Alaska,"" The Cryosphere, v.10, 2016, p. 2673-2692. doi:10.5194/tc-10-2673-2016",Presence of rapidly degrading permafrost plateaus in south-central Alaska,The Cryosphere,10,2016
885,22,"Kelly , R. and Genet, H.. and McGuire, A.D. and Hu, F.S.. ""Paleodata-informed modeling of large carbon losses from recent burning of boreal forests,"" Nature Climate Change, v.6, 2016, p. 79-82. doi:10.1038/nclimate2832",Paleodata-informed modeling of large carbon losses from recent burning of boreal forests,Nature Climate Change,6,2016
886,22,"Kranabetter , J.M. and McLauchlan, K.K. and Enders , S.K. and Fraterrigo , J.M. and Higuera, P.E. and Morris , J.L. and Rastetter, E.B. and Barnes , R. and Buma, B.. and Gavin, D.G. and Gerhart , L.M. and Gillson , L. and Hietz , P. and Mack, M.C. and McN. ""A framework to assess biogeochemical response to ecosystem disturbance using nutrient partitioning ratios,"" Ecosystems, v.19, 2016, p. 387-395. doi:10.1007/s10021-015-9934-1",A framework to assess biogeochemical response to ecosystem disturbance using nutrient partitioning ratios,Ecosystems,19,2016
887,22,"Kumar , J. and Collier , N. and Bisht , G. and Mills , R.T. and Thornton, P.. and Iversen, C.M. and Romanovsky, V.E.. ""Modeling the spatiotemporal variability in subsurface thermal regimes across a low-relief polygonal tundra landscape,"" The Cryosphere, v.10, 2016, p. 2241-2274. doi:10.5194/tc-10-2241-2016",Modeling the spatiotemporal variability in subsurface thermal regimes across a low-relief polygonal tundra landscape,The Cryosphere,10,2016
888,22,"Kwon , M.J. and Heimann, M. and Luus , K. and Schuur, E.A.G. and Zimov, N.S. and Gockede , M.. ""Drainagereduces CO2 uptake and increases CO2 efflux by a Siberian floodplain due to shifts in vegetation community and soil thermal characterisitics,"" Biogeosciences Discussion, v.13(14), 2016, p. 4219-4235. doi:10.5194/bg-13-4219-2016",Drainagereduces CO2 uptake and increases CO2 efflux by a Siberian floodplain due to shifts in vegetation community and soil thermal characterisitics,Biogeosciences Discussion,13(14),2016
889,22,"Liang, J. and Crowther , T.W. and Picard , N. and Wiser , S. and Zhou , M. and Alberti , G. and Schulze, E.D. and McGuire, A.D. and Bozzato , F. and Pretzsch , H. and de-Miguel , S. and Paquette , A.. ""Positive biodiversity-productivity relationship predominant in global forests,"" Science, v.354(630, 2016, p. 15. doi:10.1126/science.aaf8957",Positive biodiversity-productivity relationship predominant in global forests,Science,354(630,2016
