Publication_Name,Quartile,Field,CiteScore
archives of rheumatology,Quartile 4,NS,0.25
archives of sexual behavior,Quartile 1,Other,3.11
archives of suicide research,Quartile 1,Other,2.55
archives of the balkan medical union,Quartile 3,NS,0.19
archives of thermodynamics,Quartile 3,NS,1.01
archives of toxicology,Quartile 1,NS,5.14
archives of transport,Quartile 2,NS,1.09
archives of veterinary science,Quartile 4,NS,0.1
archives of virology,Quartile 3,NS,2.16
archives of women's mental health,Quartile 1,NS,2.84
archivio di filosofia,Quartile 4,Other,0.04
archivio di storia della cultura,Quartile 4,Other,0.03
archivio di studi urbani e regionali,Quartile 4,Other,0.05
archivio italiano di urologia andrologia,Quartile 3,NS,0.8
archivio penale,Quartile 4,Other,0.14
archivio storico italiano,Quartile 3,Other,0.14
archivium hibernicum,Quartile 3,Other,0.12
archivo espanol de arqueologia,Quartile 2,Other,0.22
archivo espanol de arte,Quartile 3,Other,0.07
archivos argentinos de pediatria,Quartile 3,NS,0.37
archivos de alergia e inmunologia clinica,Quartile 4,NS,0
archivos de bronconeumologia,Quartile 3,NS,0.91
archivos de cardiologia de mexico,Quartile 4,NS,0.25
archivos de la sociedad espanola de oftalmologia,Quartile 4,NS,0.36
archivos de medicina del deporte,Quartile 4,NS,0.24
archivos de neurociencias,Quartile 4,NS,0
archivos de zootecnia,Quartile 4,NS,0.44
archivos espanoles de urologia,Quartile 4,NS,0.25
archivos latinoamericanos de nutricion,Quartile 4,NS,0.32
archivos venezolanos de farmacologia y terapeutica,Quartile 4,NS,0.37
archivum franciscanum historicum,Quartile 3,Other,0.08
archivum immunologiae et therapiae experimentalis,Quartile 2,NS,3.1
archivum mathematicum,Quartile 4,Other,0.31
archiwum medycyny sadowej i kryminologii,Quartile 3,NS,0.22
archnet-ijar,Quartile 1,NS,1
arctic,Quartile 2,NS,1.35
arctic anthropology,Quartile 1,Other,0.85
"arctic, antarctic, and alpine research",Quartile 2,NS,2.18
ardea,Quartile 2,NS,0.94
ardeola,Quartile 1,NS,1.59
area,Quartile 1,Other,2.57
area development and policy,Quartile 1,Other,2.98
arenal,Quartile 4,Other,0.05
arete,Quartile 4,Other,0.04
arethusa,Quartile 1,Other,0.2
argument and computation,Quartile 1,Other,1.52
argumenta oeconomica,Quartile 4,EC,0.18
argumentation,Quartile 1,Other,1.31
arheologia moldovei,Quartile 2,Other,0.28
arheoloski vestnik,Quartile 2,Other,0.38
arhiv za farmaciju,Quartile 4,NS,0.04
arhiv za higijenu rada i toksikologiju,Quartile 2,NS,1.53
arid ecosystems,Quartile 4,NS,0.27
arid land research and management,Quartile 3,NS,1.2
ariel,Quartile 1,Other,0.23
aries,Quartile 2,Other,0.24
aries book series,Quartile 3,Other,0.08
arion - journal of humanities and the classics,Quartile 2,Other,0.12
arizona quarterly,Quartile 1,Other,0.19
arkansas historical quarterly,Quartile 2,Other,0.23
arkhiv patologii,Quartile 4,NS,0.32
arkiv for matematik,Quartile 2,Other,0.8
arkiv for nordisk filologi,Quartile 2,Other,0.15
arkivoc,Quartile 4,NS,0.79
armed forces and society,Quartile 2,Other,1.3
arms and armour,Quartile 2,Other,0.16
arnold mathematical journal,Quartile 3,Other,0.42
arpn journal of engineering and applied sciences,Quartile 3,NS,0.5
arq,Quartile 3,Other,0.07
arqueologia,Quartile 3,Other,0.24
arqueologia de la arquitectura,Quartile 1,Other,0.23
arqueologia iberoamericana,Quartile 1,Other,0.84
arqueologia mexicana,Quartile 4,Other,0.05
arquiteturarevista,Quartile 4,NS,0.08
arquivo brasileiro de medicina veterinaria e zootecnia,Quartile 3,NS,0.35
arquivos brasileiros de cardiologia,Quartile 3,NS,1
arquivos brasileiros de cirurgia digestiva : abcd = brazilian archives of digestive surgery,Quartile 3,NS,0.86
arquivos brasileiros de oftalmologia,Quartile 3,NS,0.96
arquivos brasileiros de psicologia,Quartile 4,Other,0.15
arquivos de gastroenterologia,Quartile 3,NS,0.9
arquivos de neuro-psiquiatria,Quartile 3,NS,0.87
arrhythmia and electrophysiology review,Quartile 2,NS,1.86
ars aeterna,Quartile 1,Other,0.24
ars combinatoria,Quartile 4,Other,0.27
ars et humanitas,Quartile 4,Other,0.05
ars longa,Quartile 4,Other,0
ars mathematica contemporanea,Quartile 2,Other,0.93
ars orientalis,Quartile 4,Other,0.03
art and perception,Quartile 1,Other,0.66
art bulletin,Quartile 1,Other,0.32
art history,Quartile 1,Other,0.32
art in america,Quartile 4,Other,0.01
art in translation,Quartile 2,Other,0.1
art inquiry,Quartile 4,Other,0
art journal,Quartile 3,Other,0.05
art therapy,Quartile 2,NS,0.95
"art, design & communication in higher education",Quartile 1,Other,0.43
arte cristiana,Quartile 4,Other,0
"arte, individuo y sociedad",Quartile 2,Other,0.16
arterial hypertension,Quartile 4,NS,0.15
arterial hypertension (russian federation),Quartile 4,NS,0.34
"arteriosclerosis, thrombosis, and vascular biology",Quartile 1,NS,4.65
artery research,Quartile 3,NS,0.83
artforum international,Quartile 3,Other,0.04
arthritis and rheumatology,Quartile 1,NS,5.54
arthritis care and research,Quartile 1,NS,4.13
arthritis research and therapy,Quartile 1,NS,4.29
arthroplasty today,Quartile 3,NS,0.96
arthropod structure and development,Quartile 2,NS,1.67
arthropod systematics and phylogeny,Quartile 2,NS,1.6
arthropoda selecta,Quartile 2,NS,1
arthropod-plant interactions,Quartile 1,NS,1.74
arthroscopy - journal of arthroscopic and related surgery,Quartile 1,NS,3.19
arthroscopy techniques,Quartile 3,NS,1.2
arthroskopie,Quartile 4,NS,0.13
arthuriana,Quartile 2,Other,0.1
arti musices,Quartile 3,Other,0.07
artibus asiae,Quartile 2,Other,0.11
artibus et historiae,Quartile 3,Other,0.08
articulo - journal of urban research,Quartile 3,Other,0.45
"artificial cells, nanomedicine and biotechnology",Quartile 1,NS,3.55
artificial intelligence,Quartile 1,Other,4.33
artificial intelligence and law,Quartile 1,Other,2.28
"artificial intelligence for engineering design, analysis and manufacturing: aiedam",Quartile 2,NS,1.26
artificial intelligence in medicine,Quartile 1,Other,4.35
artificial intelligence review,Quartile 1,Other,6.09
artificial life,Quartile 3,Other,1.43
artificial life and robotics,Quartile 3,NS,0.74
artificial organs,Quartile 2,NS,1.98
artificial satellites,Quartile 4,NS,0.61
artmargins,Quartile 3,Other,0.05
artnews,Quartile 4,Other,0
artnodes,Quartile 2,Other,0.12
arts and health,Quartile 2,Other,1.21
arts and humanities in higher education,Quartile 1,Other,1.04
arts education policy review,Quartile 1,Other,0.51
arts in psychotherapy,Quartile 2,Other,1.3
arts of asia,Quartile 4,Other,0.01
arxius de miscellania zoologica,Quartile 3,NS,0.5
arya atherosclerosis,Quartile 3,NS,1.13
arzneimitteltherapie,Quartile 3,NS,0.04
asaio journal,Quartile 2,NS,2.05
"asce-asme journal of risk and uncertainty in engineering systems, part a: civil engineering",Quartile 2,NS,1.7
"asce-asme journal of risk and uncertainty in engineering systems, part b: mechanical engineering",Quartile 2,NS,1.13
asclepio,Quartile 4,Other,0.17
asean journal of chemical engineering,Quartile 4,NS,0.36
asha leader,Quartile 4,NS,0.02
ashrae journal,Quartile 4,NS,0.19
ashrae transactions,Quartile 3,NS,0.75
asia and the pacific policy studies,Quartile 2,Other ,1.13
asia europe journal,Quartile 2,Other,0.82
asia life sciences,Quartile 4,NS,0.26
asia pacific allergy,Quartile 1,NS,2
asia pacific business review,Quartile 2,EC,1
asia pacific disability rehabilitation journal,Quartile 3,NS,0.38
asia pacific education review,Quartile 2,Other,1.13
asia pacific family medicine,Quartile 1,NS,2.11
asia pacific issues,Quartile 3,Other,0.44
asia pacific journal of anthropology,Quartile 1,Other,0.58
asia pacific journal of clinical nutrition,Quartile 3,NS,1.55
asia pacific journal of education,Quartile 2,Other,1.49
asia pacific journal of environmental law,Quartile 4,NS,0.46
asia pacific journal of human resources,Quartile 2,EC,1.58
asia pacific journal of management,Quartile 1,EC,3.75
asia pacific journal of marketing and logistics,Quartile 2,EC,1.61
asia pacific journal of social work and development,Quartile 2,Other,0.59
asia pacific journal of sport and social science,Quartile 1,Other,0.57
asia pacific journal of tourism research,Quartile 1,Other,1.92
asia pacific law review,Quartile 3,Other,0.4
asia pacific management review,Quartile 2,EC,1.78
asia pacific media educator,Quartile 3,Other,0.33
asia pacific viewpoint,Quartile 2,Other,1.37
asia policy,Quartile 1,Other,0.81
asian academy of management journal,Quartile 3,EC,0.84
asian academy of management journal of accounting and finance,Quartile 4,EC,0.46
asian affairs,Quartile 2,Other,0.65
asian american journal of psychology,Quartile 2,Other,1.55
asian and african studies,Quartile 2,Other,0.17
asian and pacific migration journal,Quartile 2,Other,0.93
asian anthropology,Quartile 2,Other,0.59
asian bioethics review,Quartile 2,Other,0.24
asian biomedicine,Quartile 4,NS,0.3
asian biotechnology and development review,Quartile 4,NS,0.19
asian business and management,Quartile 1,Other,1.32
asian cardiovascular and thoracic annals,Quartile 3,NS,0.4
asian case research journal,Quartile 4,EC,0.04
asian development review,Quartile 3,Other,0.75
asian dyer,Quartile 4,NS,0.09
asian economic journal,Quartile 3,Other,0.46
asian economic papers,Quartile 3,Other,0.29
asian economic policy review,Quartile 3,EC,0.29
asian education and development studies,Quartile 3,Other,0.62
asian efl journal,Quartile 3,Other,0.1
asian englishes,Quartile 1,Other,0.95
asian esp journal,Quartile 2,Other,0.23
asian ethnicity,Quartile 1,Other,0.81
asian ethnology,Quartile 1,Other,0.35
asian fisheries science,Quartile 4,NS,0.28
asian geographer,Quartile 2,Other,1.15
asian herpetological research,Quartile 3,NS,0.81
asian journal of agriculture and biology,Quartile 4,NS,0.23
asian journal of andrology,Quartile 1,NS,2.15
asian journal of anesthesiology,Quartile 3,NS,0.8
asian journal of atmospheric environment,Quartile 3,NS,0.71
asian journal of business and accounting,Quartile 3,EC,0.55
asian journal of chemistry,Quartile 4,NS,0.25
asian journal of civil engineering,Quartile 3,NS,0.59
asian journal of communication,Quartile 2,Other,1.09
asian journal of comparative law,Quartile 3,Other,0.21
asian journal of comparative politics,Quartile 2,Other,0.87
asian journal of conservation biology,Quartile 4,NS,0.09
asian journal of control,Quartile 2,NS,2.6
asian journal of criminology,Quartile 1,Other,1.23
asian journal of endoscopic surgery,Quartile 2,NS,0.83
asian journal of gerontology and geriatrics,Quartile 4,NS,0.17
asian journal of international law,Quartile 2,Other,0.64
asian journal of law and society,Quartile 3,Other,0.44
asian journal of management cases,Quartile 4,EC,0.07
asian journal of mathematics,Quartile 2,Other,0.73
asian journal of ophthalmology,Quartile 4,NS,0.05
asian journal of organic chemistry,Quartile 2,NS,2.53
asian journal of pharmaceutical sciences,Quartile 1,NS,2.78
asian journal of plant sciences,Quartile 3,NS,0.7
asian journal of political science,Quartile 3,Other,0.44
asian journal of psychiatry,Quartile 2,Other,1.29
asian journal of shipping and logistics,Quartile 2,EC,1.67
asian journal of social psychology,Quartile 1,Other,1.3
asian journal of social science,Quartile 3,Other,0.42
asian journal of sports medicine,Quartile 2,NS,1.44
asian journal of surgery,Quartile 2,NS,1.13
asian journal of technology innovation,Quartile 3,EC,0.95
asian journal of transfusion science,Quartile 4,NS,0.71
asian journal of urology,Quartile 3,NS,1.24
"asian journal of water, environment and pollution",Quartile 4,NS,0.4
asian journal of women's studies,Quartile 3,Other,0.36
asian journal of wto and international health law and policy,Quartile 4,EC,0.19
asian medicine,Quartile 4,Other,0.16
asian myrmecology,Quartile 3,NS,0.52
asian nursing research,Quartile 1,NS,1.65
asian pacific journal of allergy and immunology,Quartile 4,NS,1.21
asian pacific journal of cancer prevention,Quartile 2,NS,1.47
asian pacific journal of reproduction,Quartile 2,NS,0.87
asian pacific journal of tropical biomedicine,Quartile 2,NS,2.03
asian pacific journal of tropical disease,Quartile 4,NS,0.67
asian pacific journal of tropical medicine,Quartile 1,NS,1.87
asian perspective,Quartile 4,Other,0.57
asian perspectives,Quartile 1,Other,0.64
asian philosophy,Quartile 1,Other,0.32
asian politics and policy,Quartile 3,Other,0.41
asian population studies,Quartile 2,Other,0.85
asian review of accounting,Quartile 2,EC,1.02
asian review of world histories,Quartile 3,Other,0.11
asian security,Quartile 2,Other,1.16
asian social work and policy review,Quartile 2,Other,0.86
asian spine journal,Quartile 2,NS,1.29
asian studies,Quartile 2,Other,0.16
asian studies review,Quartile 1,Other,0.62
asian survey,Quartile 2,Other,0.58
asian theatre journal,Quartile 2,Other,0.11
asian women,Quartile 3,Other,0.28
asian-australasian journal of animal sciences,Quartile 2,NS,1.58
asian-european journal of mathematics,Quartile 4,Other,0.35
asian-pacific economic literature,Quartile 3,EC,0.58
asia-pacific education researcher,Quartile 2,Other,1.15
asia-pacific financial markets,Quartile 4,EC,0.24
asia-pacific forum on science learning and teaching,Quartile 3,Other,0.67
asia-pacific journal of accounting and economics,Quartile 3,EC,0.71
asia-pacific journal of atmospheric sciences,Quartile 3,NS,1.46
asia-pacific journal of business administration,Quartile 2,EC,1.19
asia-pacific journal of chemical engineering,Quartile 2,NS,1.43
asia-pacific journal of clinical oncology,Quartile 3,NS,1.39
asia-pacific journal of financial studies,Quartile 3,EC,0.68
"asia-pacific journal of health, sport and physical education",Quartile 3,Other,0.75
asia-pacific journal of innovation in hospitality and tourism,Quartile 4,EC,0.07
asia-pacific journal of molecular biology and biotechnology,Quartile 4,NS,0.24
asia-pacific journal of operational research,Quartile 3,Other,1.01
asia-pacific journal of ophthalmology,Quartile 2,NS,1.63
asia-pacific journal of public health,Quartile 2,NS,1.38
asia-pacific journal of science and technology,Quartile 4,NS,0.12
"asia-pacific journal of sports medicine, arthroscopy, rehabilitation and technology",Quartile 2,NS,1.28
asia-pacific journal of teacher education,Quartile 2,Other,1.2
asia-pacific journal on human rights and the law,Quartile 4,Other,0.06
asia-pacific population journal,Quartile 3,Other,0.41
asia-pacific psychiatry,Quartile 3,NS,1.11
asia-pacific review,Quartile 1,Other,0.51
asia-pacific social science review,Quartile 1,Other,0.46
asiatic,Quartile 3,Other,0.08
aslib journal of information management,Quartile 1,Other,2.12
asm science journal,Quartile 2,NS,0.78
asn neuro,Quartile 1,NS,3.61
aspasia,Quartile 2,Other,0.25
asphalt paving technology: association of asphalt paving technologists-proceedings of the technical sessions,Quartile 3,NS,0.54
assay and drug development technologies,Quartile 3,NS,1.5
assembly,Quartile 4,NS,0.01
assembly automation,Quartile 1,NS,2.23
assessing writing,Quartile 1,Other,1.99
assessment,Quartile 1,Other,3.58
assessment and evaluation in higher education,Quartile 1,Other,2.72
assessment for effective intervention,Quartile 2,Other,1.45
"assessment in education: principles, policy and practice",Quartile 1,Other,2.32
assistenza infermieristica e ricerca,Quartile 3,NS,0.35
assistive technology,Quartile 2,NS,1.3
association of canadian map libraries and archives bulletin,Quartile 4,NS,0.02
asta advances in statistical analysis,Quartile 2,Other,1.18
asterisque,Quartile 2,Other,0.88
asthma research and practice,Quartile 1,NS,4.46
astin bulletin,Quartile 2,EC,1.14
astra salvensis,Quartile 1,Other,1.05
astrobiology,Quartile 1,NS,3.73
astronomical and astrophysical transactions,Quartile 4,NS,0
astronomical journal,Quartile 1,NS,4.62
astronomische nachrichten,Quartile 3,NS,1.08
astronomy and astrophysics,Quartile 1,NS,4.54
astronomy and astrophysics review,Quartile 1,NS,9.12
astronomy and computing,Quartile 1,Other,3.04
astronomy and geophysics,Quartile 4,NS,0.2
astronomy letters,Quartile 3,NS,0.94
astronomy reports,Quartile 3,NS,1.04
astroparticle physics,Quartile 2,NS,2.38
astrophysical bulletin,Quartile 3,NS,0.96
astrophysical journal,Quartile 1,NS,5.1
astrophysical journal letters,Quartile 1,NS,6.98
"astrophysical journal, supplement series",Quartile 1,NS,8.27
astrophysics,Quartile 4,NS,0.48
astrophysics and space science,Quartile 3,NS,1.46
astropolitics,Quartile 3,Other,0.52
asymptotic analysis,Quartile 2,Other,0.92
ata journal of legal tax research,Quartile 4,EC,0.06
atalanta,Quartile 3,Other,0.05
atalante,Quartile 3,Other,0.04
ataturk universitesi veteriner bilimleri dergisi,Quartile 4,NS,0.12
atemwegs- und lungenkrankheiten,Quartile 4,NS,0.05
atencion familiar,Quartile 4,NS,0.1
atencion primaria,Quartile 2,NS,0.68
atene e roma,Quartile 4,Other,0
atenea,Quartile 2,Other,0.13
athenaeum,Quartile 2,Other,0.11
athenea digital: revista de pensamiento e investigacion social,Quartile 4,Other,0.17
atherosclerosis,Quartile 1,NS,3.74
atherosclerosis supplements,Quartile 2,NS,2.1
atip. association technique de l'industrie papetiere,Quartile 4,NS,0
atla alternatives to laboratory animals,Quartile 3,NS,0.83
atlantic economic journal,Quartile 3,EC,0.26
atlantic geology,Quartile 3,NS,0.64
atlantic journal of communication,Quartile 2,Other,1.07
"atlantic studies: literary, cultural and historical perspectives",Quartile 1,Other,0.25
atlantic world,Quartile 4,Other,0
atlantis,Quartile 2,Other,0.14
atlas of the oral and maxillofacial surgery clinics of north america,Quartile 3,Other,0.57
atmosfera,Quartile 3,NS,1.42
atmosphere,Quartile 2,NS,2.27
atmosphere - ocean,Quartile 2,NS,1.29
atmospheric and oceanic optics,Quartile 3,NS,0.92
atmospheric chemistry and physics,Quartile 1,NS,6.13
atmospheric environment,Quartile 1,NS,4.54
atmospheric measurement techniques,Quartile 1,NS,3.71
atmospheric pollution research,Quartile 1,NS,3.33
atmospheric research,Quartile 1,NS,4.37
atmospheric science letters,Quartile 3,NS,1.85
atoll research bulletin,Quartile 2,NS,1.43
atom indonesia,Quartile 4,NS,0.26
atomic data and nuclear data tables,Quartile 1,NS,5.41
atomic energy,Quartile 3,NS,0.35
atomic spectroscopy,Quartile 4,NS,0.7
atomization and sprays,Quartile 2,NS,1.2
atoms,Quartile 3,NS,1.2
attachment and human development,Quartile 1,Other,2.54
"attention, perception, and psychophysics",Quartile 1,Other,1.95
atti della accademia nazionale dei lincei rendiconti lincei scienze fisiche e naturali,Quartile 2,NS,1.28
"atti della accademia nazionale dei lincei, classe di scienze fisiche, matematiche e naturali, rendiconti lincei matematica e applicazioni",Quartile 2,Other,1.02
"atti della societa toscana di scienze naturali, memorie serie b",Quartile 2,NS,0.82
audiology and neuro-otology,Quartile 1,NS,2.45
auditing,Quartile 1,EC,3.97
augustinian studies,Quartile 2,Other,0.22
augustiniana,Quartile 4,Other,0.04
auk,Quartile 1,NS,2.31
auris nasus larynx,Quartile 2,NS,1.46
aus,Quartile 3,NS,0.1
ausa,Quartile 4,Other,0
ausimm bulletin,Quartile 4,NS,0.1
aussiger beitrage,Quartile 4,Other,0
austral ecology,Quartile 2,NS,1.64
austral entomology,Quartile 2,NS,1.71
austral: brazilian journal of strategy and international relations,Quartile 4,Other,0.04
"australasian accounting, business and finance journal",Quartile 3,EC,0.86
australasian emergency care,Quartile 1,NS,1.98
australasian journal of combinatorics,Quartile 3,Other,0.46
australasian journal of dermatology,Quartile 2,NS,1.27
australasian journal of disaster and trauma studies,Quartile 3,Other,0.84
australasian journal of early childhood,Quartile 3,Other,0.69
australasian journal of educational technology,Quartile 1,Other,2.13
australasian journal of engineering education,Quartile 2,Other,1.08
australasian journal of environmental management,Quartile 2,Other,1.01
australasian journal of gifted education,Quartile 4,Other,0.4
australasian journal of information systems,Quartile 3,EC,1
australasian journal of organisational psychology,Quartile 3,EC,0.62
australasian journal of paramedicine,Quartile 3,NS,0.31
australasian journal of philosophy,Quartile 1,Other,1.16
australasian journal of regional studies,Quartile 3,EC,0.5
australasian journal of special education,Quartile 3,Other,0.81
australasian journal on ageing,Quartile 2,NS,1.18
australasian marketing journal,Quartile 2,EC,1.51
australasian physical and engineering sciences in medicine,Quartile 3,NS,1.19
australasian plant disease notes,Quartile 3,NS,0.49
australasian plant pathology,Quartile 2,NS,1.37
australasian psychiatry,Quartile 3,NS,0.71
australasian review of african studies,Quartile 3,Other,0.08
australian aboriginal studies,Quartile 1,Other,0.53
australian accounting review,Quartile 2,EC,1.47
australian and new zealand journal of criminology,Quartile 1,Other,1.6
australian and new zealand journal of family therapy,Quartile 3,Other,0.42
australian and new zealand journal of obstetrics and gynaecology,Quartile 2,NS,1.41
australian and new zealand journal of psychiatry,Quartile 2,NS,1.97
australian and new zealand journal of public health,Quartile 2,NS,1.89
australian and new zealand journal of statistics,Quartile 3,Other,0.8
australian archaeology,Quartile 1,Other,1.44
australian critical care,Quartile 1,NS,1.74
australian dental journal,Quartile 2,Other,1.54
australian economic history review,Quartile 1,Other,0.6
australian economic papers,Quartile 2,EC,0.69
australian economic review,Quartile 3,EC,0.49
australian educational computing,Quartile 3,Other,0.58
australian educational researcher,Quartile 2,Other,1.49
australian endodontic journal,Quartile 3,Other,0.8
australian family physician,Quartile 3,NS,0.61
australian feminist studies,Quartile 2,Other,1
australian forestry,Quartile 2,NS,1.03
australian geographer,Quartile 2,NS,1.6
australian geomechanics journal,Quartile 3,NS,0.49
australian health review,Quartile 2,NS,1.16
australian historical studies,Quartile 1,Other,0.72
australian journal of adult learning,Quartile 3,Other,0.66
australian journal of advanced nursing,Quartile 2,NS,0.94
australian journal of agricultural and resource economics,Quartile 2,EC,1.63
australian journal of botany,Quartile 2,NS,1.21
australian journal of chemistry,Quartile 3,NS,1.12
australian journal of civil engineering,Quartile 2,NS,1.27
australian journal of clinical and experimental hypnosis,Quartile 4,Other,0.1
australian journal of clinical hypnotherapy and hypnosis,Quartile 4,Other,0
australian journal of crop science,Quartile 3,NS,0.63
australian journal of earth sciences,Quartile 2,NS,1.34
australian journal of education,Quartile 2,Other,1.54
australian journal of educational and developmental psychology,Quartile 2,Other,1.2
australian journal of electrical and electronics engineering,Quartile 4,NS,0.36
australian journal of emergency management,Quartile 2,NS,0.44
australian journal of environmental education,Quartile 3,Other,0.89
australian journal of forensic sciences,Quartile 3,NS,1.24
australian journal of french studies,Quartile 3,Other,0.05
australian journal of grape and wine research,Quartile 1,NS,2.62
australian journal of herbal and naturopathic medicine,Quartile 3,NS,0.16
australian journal of human rights,Quartile 2,Other,0.24
australian journal of indigenous education,Quartile 2,Other,0.71
australian journal of international affairs,Quartile 2,Other,1.13
australian journal of language and literacy,Quartile 1,Other,1.1
australian journal of learning difficulties,Quartile 3,Other,0.89
australian journal of linguistics,Quartile 2,Other,0.55
australian journal of management,Quartile 2,EC,1.74
australian journal of maritime and ocean affairs,Quartile 3,NS,0.41
australian journal of mathematical analysis and applications,Quartile 4,Other,0.25
australian journal of mechanical engineering,Quartile 3,NS,0.73
australian journal of pharmacy,Quartile 4,NS,0.03
australian journal of political science,Quartile 2,Other,0.82
australian journal of politics and history,Quartile 2,Other,0.29
australian journal of primary health,Quartile 2,NS,1.19
australian journal of psychology,Quartile 2,Other,1.35
australian journal of public administration,Quartile 2,Other,1.38
australian journal of rehabilitation counselling,Quartile 3,NS,0.5
australian journal of rural health,Quartile 2,NS,0.88
australian journal of social issues,Quartile 2,Other,0.78
australian journal of structural engineering,Quartile 3,NS,0.76
australian journal of teacher education,Quartile 3,Other,0.9
australian journal of telecommunications and the digital economy,Quartile 3,NS,0.2
australian journal of water resources,Quartile 3,NS,0.65
australian journal of zoology,Quartile 3,NS,0.8
australian literary studies,Quartile 3,Other,0.04
australian mammalogy,Quartile 2,NS,1.19
australian mining,Quartile 4,NS,0.02
australian nursing & midwifery journal,Quartile 4,NS,0.07
australian occupational therapy journal,Quartile 2,NS,1.16
australian planner,Quartile 2,Other,1.09
australian prescriber,Quartile 3,NS,1.02
australian psychologist,Quartile 2,Other,1.24
australian review of applied linguistics,Quartile 2,Other,0.56
australian slavonic and east european studies,Quartile 4,Other,0
australian social work,Quartile 2,Other,1.09
australian systematic botany,Quartile 2,NS,1.71
australian veterinary journal,Quartile 3,NS,0.54
australian veterinary practitioner,Quartile 4,NS,0.03
australian zoologist,Quartile 3,NS,0.54
austrian history yearbook,Quartile 2,Other,0.2
austrian journal of clinical endocrinology and metabolism,Quartile 4,NS,0.04
austrian journal of earth sciences,Quartile 3,NS,0.65
austrian journal of forest science,Quartile 4,NS,0.38
austrian journal of political science,Quartile 3,Other,0.25
austrian journal of south-east asian studies,Quartile 2,Other,0.6
austrian journal of statistics,Quartile 3,Other,0.89
austrian studies,Quartile 2,Other,0.13
austrobaileya,Quartile 4,NS,0.21
aut aut,Quartile 4,Other,0.01
autex research journal,Quartile 2,NS,1.21
autism,Quartile 1,Other,4.42
autism research,Quartile 1,NS,3.94
autoimmune diseases,Quartile 2,NS,1.72
autoimmunity,Quartile 2,NS,2.42
autoimmunity highlights,Quartile 1,NS,4.06
autoimmunity reviews,Quartile 1,NS,7.5
automated software engineering,Quartile 2,Other,2.46
automatic control and computer sciences,Quartile 3,NS,0.65
automatica,Quartile 1,NS,8.3
automatika,Quartile 3,Other,0.61
automation and remote control,Quartile 3,NS,0.86
automation in construction,Quartile 1,NS,6.35
automatisierungstechnik,Quartile 3,NS,0.6
automotive industries ai,Quartile 4,NS,0
autonomic and autacoid pharmacology,Quartile 4,NS,0.71
autonomic neuroscience: basic and clinical,Quartile 2,NS,2.23
autonomous agents and multi-agent systems,Quartile 2,Other,2.32
autonomous robots,Quartile 1,Other,4.21
autophagy,Quartile 1,NS,7.01
avaliacao psicologica,Quartile 4,Other,0.18
avances en odontoestomatologia,Quartile 4,Other,0.09
avances en psicologia latinoamericana,Quartile 4,Other,0.37
avances en quimica,Quartile 4,NS,0.07
avant,Quartile 4,NS,0.05
avant scene opera,Quartile 4,Other,0.01
aviakosmicheskaia i ekologicheskaia meditsina = aerospace and environmental medicine,Quartile 4,NS,0.36
avian biology research,Quartile 3,NS,0.82
avian conservation and ecology,Quartile 1,NS,2.25
avian diseases,Quartile 2,NS,1.4
avian pathology,Quartile 1,NS,1.78
avian research,Quartile 2,NS,1.12
aviation,Quartile 2,NS,1.13
aviation week and space technology,Quartile 4,NS,0.01
avicenna journal of medical biotechnology,Quartile 3,NS,1.61
avocetta,Quartile 4,NS,0.22
axiomathes,Quartile 2,Other,0.45
axioms,Quartile 2,Other,0.99
axon,Quartile 4,Other,0.02
ayer,Quartile 2,Other,0.18
azania,Quartile 1,Other,1.43
azerbaijan journal of mathematics,Quartile 3,Other,0.55
azerbaijan medical journal,Quartile 4,NS,0
azerbaijan pharmaceutical and pharmacotherapy journal,Quartile 4,NS,0.04
b.e. journal of economic analysis and policy,Quartile 3,EC,0.54
b.e. journal of macroeconomics,Quartile 3,EC,0.7
b.e. journal of theoretical economics,Quartile 4,EC,0.24
babel,Quartile 2,Other,0.38
babesch,Quartile 2,Other,0.14
bach,Quartile 3,Other,0.08
baghdad science journal,Quartile 4,NS,0.2
bahrain medical bulletin,Quartile 4,NS,0.02
bailliere's best practice and research in clinical gastroenterology,Quartile 1,NS,3.65
bajo palabra,Quartile 4,Other,0.03
bakhtiniana,Quartile 4,Other,0.01
balkan journal of geometry and its applications,Quartile 3,Other,0.58
balkan journal of medical genetics,Quartile 4,NS,0.66
balkan journal of philosophy,Quartile 4,Other,0
balkan medical journal,Quartile 2,NS,0.86
balkan studies library,Quartile 3,Other,0.11
balkanistic forum,Quartile 4,Other,0
balkanistica,Quartile 4,Other,0.01
ballet review,Quartile 4,Other,0.01
baltic forestry,Quartile 2,NS,1.04
baltic journal of art history,Quartile 3,Other,0.05
baltic journal of coleopterology,Quartile 3,NS,0.98
baltic journal of economics,Quartile 2,EC,0.93
baltic journal of european studies,Quartile 1,Other,0.65
baltic journal of law and politics,Quartile 3,Other,0.42
baltic journal of management,Quartile 1,EC,2.12
baltic journal of road and bridge engineering,Quartile 3,NS,0.85
baltica,Quartile 3,NS,0.74
banach journal of mathematical analysis,Quartile 2,Other,0.91
bandaoti guangdian/semiconductor optoelectronics,Quartile 4,NS,0.17
bangladesh journal of botany,Quartile 4,NS,0.3
bangladesh journal of medical science,Quartile 3,NS,0.19
bangladesh journal of pharmacology,Quartile 4,NS,0.71
bangladesh medical research council bulletin,Quartile 4,NS,0.12
